brand,count
Maruti,6879
Tata,5367
Hyundai,3357
Mahindra,3149
Honda,1820
Chevrolet,1744
Toyota,1729
Ford,1204
Skoda,923
Volkswagen,725
Renault,690
Fiat,547
Nissan,542
General,328
Ashok,308
Force,219
Mitsubishi,206
Eicher,173
Audi,170
ALL,165
Daewoo,136
Opel,132
Volvo,130
Swaraj,112
Hindustan,86
Datsun,76
Commercial,70
Mercedes,66
Asian,43
Bajaj,40
MARUTI,36
Bmw,35
Bharat,34
Piaggio,34
TATA,27
Caterpillar,27
CHEVROLET,24
Escorts,23
JCB,21
Land,18
AUDI,17
MAHINDRA,17
Amw,15
HYUNDAI,15
HMT,14
Universal,14
Jcb,12
John,12
Kirloskar,12
Sonalika,10
SKODA,9
Tempo,9
Punjab,9
Ambassador,9
Av,8
BMW,8
TVS,8
FORCE,8
Mahinda,8
Hm,7
Isuzu,7
Misubishi,7
All,6
JAGUAR,6
Peugeot,6
Chverolet,6
Tafe,5
chevrolet,5
Jeep,5
Sml,5
Toyta,4
Jaguar,4
Daimler,4
Hyunsai,4
Ace,3
FORD,3
Escort,3
TOYOTA,3
Premier,3
Dcm,2
Jsa,2
New,2
Atul,2
FIAT,2
EICHER,2
Vikram,2
Mahindar,2
HINDUSTAN,2
VOLKSWAGEN,2
Leyland,2
MITSUBISHI,2
Massey,2
Simpson,2
Toyata,2
Ashol,2
Ssang,2
Kamaz,2
Canter,2
Icml,2
AMW,1
DCM,1
Man,1
Tvs,1
ICML,1
Mitr,1
BAJAJ,1
Bhart,1
Iveco,1
Preet,1
VOLVO,1
Kubota,1
Scania,1
Tractor,1
Farmatec,1
Navistar,1
Mahjindra,1
Mini,1
HONDA,1
Porsche,1
premier,1
Range,1
Morris,1
Hond,1
