Week,Car
18-09-2016,36
25-09-2016,31
02-10-2016,37
09-10-2016,32
16-10-2016,27
23-10-2016,38
30-10-2016,29
06-11-2016,29
13-11-2016,22
20-11-2016,36
27-11-2016,37
04-12-2016,29
11-12-2016,38
18-12-2016,38
25-12-2016,35
01-01-2017,33
08-01-2017,34
15-01-2017,36
22-01-2017,37
29-01-2017,34
05-02-2017,45
12-02-2017,36
19-02-2017,37
26-02-2017,35
05-03-2017,37
12-03-2017,40
19-03-2017,37
26-03-2017,39
02-04-2017,38
09-04-2017,33
16-04-2017,37
23-04-2017,31
30-04-2017,39
07-05-2017,38
14-05-2017,42
21-05-2017,43
28-05-2017,42
04-06-2017,43
11-06-2017,38
18-06-2017,37
25-06-2017,36
02-07-2017,48
09-07-2017,44
16-07-2017,34
23-07-2017,37
30-07-2017,46
06-08-2017,39
13-08-2017,38
20-08-2017,49
27-08-2017,43
03-09-2017,58
10-09-2017,46
17-09-2017,50
24-09-2017,42
01-10-2017,48
08-10-2017,56
15-10-2017,52
22-10-2017,51
29-10-2017,45
05-11-2017,48
12-11-2017,50
19-11-2017,50
26-11-2017,50
03-12-2017,48
10-12-2017,46
17-12-2017,47
24-12-2017,49
31-12-2017,49
07-01-2018,52
14-01-2018,58
21-01-2018,53
28-01-2018,52
04-02-2018,48
11-02-2018,47
18-02-2018,56
25-02-2018,45
04-03-2018,49
11-03-2018,40
18-03-2018,44
25-03-2018,52
01-04-2018,50
08-04-2018,47
15-04-2018,45
22-04-2018,43
29-04-2018,44
06-05-2018,50
13-05-2018,59
20-05-2018,53
27-05-2018,53
03-06-2018,45
10-06-2018,49
17-06-2018,50
24-06-2018,40
01-07-2018,54
08-07-2018,57
15-07-2018,48
22-07-2018,63
29-07-2018,41
05-08-2018,41
12-08-2018,48
19-08-2018,46
26-08-2018,49
02-09-2018,52
09-09-2018,52
16-09-2018,51
23-09-2018,43
30-09-2018,44
07-10-2018,41
14-10-2018,44
21-10-2018,53
28-10-2018,38
04-11-2018,39
11-11-2018,42
18-11-2018,48
25-11-2018,45
02-12-2018,50
09-12-2018,48
16-12-2018,45
23-12-2018,53
30-12-2018,53
06-01-2019,59
13-01-2019,56
20-01-2019,52
27-01-2019,56
03-02-2019,57
10-02-2019,60
17-02-2019,55
24-02-2019,47
03-03-2019,52
10-03-2019,43
17-03-2019,47
24-03-2019,44
31-03-2019,45
07-04-2019,49
14-04-2019,50
21-04-2019,46
28-04-2019,48
05-05-2019,51
12-05-2019,56
19-05-2019,58
26-05-2019,52
02-06-2019,54
09-06-2019,53
16-06-2019,53
23-06-2019,50
30-06-2019,54
07-07-2019,55
14-07-2019,56
21-07-2019,55
28-07-2019,50
04-08-2019,47
11-08-2019,56
18-08-2019,57
25-08-2019,56
01-09-2019,51
08-09-2019,56
15-09-2019,55
22-09-2019,45
29-09-2019,45
06-10-2019,66
13-10-2019,52
20-10-2019,42
27-10-2019,49
03-11-2019,52
10-11-2019,63
17-11-2019,45
24-11-2019,45
01-12-2019,54
08-12-2019,60
15-12-2019,52
22-12-2019,61
29-12-2019,65
05-01-2020,56
12-01-2020,71
19-01-2020,55
26-01-2020,59
02-02-2020,52
09-02-2020,63
16-02-2020,69
23-02-2020,57
01-03-2020,55
08-03-2020,63
15-03-2020,62
22-03-2020,30
29-03-2020,38
05-04-2020,36
12-04-2020,31
19-04-2020,21
26-04-2020,31
03-05-2020,40
10-05-2020,45
17-05-2020,56
24-05-2020,61
31-05-2020,66
07-06-2020,82
14-06-2020,74
21-06-2020,83
28-06-2020,91
05-07-2020,94
12-07-2020,83
19-07-2020,98
26-07-2020,99
02-08-2020,81
09-08-2020,91
16-08-2020,100
23-08-2020,92
30-08-2020,92
06-09-2020,85
13-09-2020,87
20-09-2020,91
27-09-2020,77
04-10-2020,74
11-10-2020,84
18-10-2020,78
25-10-2020,74
01-11-2020,77
08-11-2020,78
15-11-2020,88
22-11-2020,82
29-11-2020,82
06-12-2020,77
13-12-2020,85
20-12-2020,98
27-12-2020,77
03-01-2021,84
10-01-2021,73
17-01-2021,78
24-01-2021,96
31-01-2021,81
07-02-2021,79
14-02-2021,73
21-02-2021,73
28-02-2021,71
07-03-2021,65
14-03-2021,58
21-03-2021,59
28-03-2021,67
04-04-2021,56
11-04-2021,61
18-04-2021,52
25-04-2021,48
02-05-2021,46
09-05-2021,54
16-05-2021,49
23-05-2021,53
30-05-2021,62
06-06-2021,72
13-06-2021,71
20-06-2021,68
27-06-2021,79
04-07-2021,73
11-07-2021,74
18-07-2021,70
25-07-2021,63
01-08-2021,66
08-08-2021,58
15-08-2021,63
22-08-2021,67
29-08-2021,58
05-09-2021,68
12-09-2021,68
